Date,Buying
2-Jan-19,"5,401"
3-Jan-19,"5,438"
4-Jan-19,"5,467"
7-Jan-19,"5,396"
8-Jan-19,"5,401"
9-Jan-19,"5,389"
10-Jan-19,"5,406"
11-Jan-19,"5,379"
14-Jan-19,"5,382"
15-Jan-19,"5,397"
16-Jan-19,"5,398"
17-Jan-19,"5,420"
18-Jan-19,"5,409"
22-Jan-19,"5,375"
23-Jan-19,"5,411"
24-Jan-19,"5,410"
25-Jan-19,"5,410"
28-Jan-19,"5,450"
29-Jan-19,"5,463"
30-Jan-19,"5,495"
31-Jan-19,"5,508"
4-Feb-19,"5,509"
7-Feb-19,"5,465"
8-Feb-19,"5,447"
11-Feb-19,"5,448"
12-Feb-19,"5,437"
13-Feb-19,"5,438"
14-Feb-19,"5,428"
15-Feb-19,"5,452"
18-Feb-19,"5,486"
19-Feb-19,"5,520"
20-Feb-19,"5,559"
21-Feb-19,"5,559"
22-Feb-19,"5,512"
25-Feb-19,"5,507"
26-Feb-19,"5,505"
27-Feb-19,"5,510"
28-Feb-19,"5,480"
1-Mar-19,"5,456"
4-Mar-19,"5,371"
5-Mar-19,"5,344"
6-Mar-19,"5,363"
7-Mar-19,"5,370"
8-Mar-19,"5,371"
11-Mar-19,"5,407"
12-Mar-19,"5,383"
13-Mar-19,"5,419"
14-Mar-19,"5,453"
15-Mar-19,"5,403"
18-Mar-19,"5,419"
19-Mar-19,"5,423"
20-Mar-19,"5,431"
21-Mar-19,"5,437"
22-Mar-19,"5,417"
25-Mar-19,"5,439"
26-Mar-19,"5,480"
27-Mar-19,"5,473"
28-Mar-19,"5,441"
29-Mar-19,"5,371"
1-Apr-19,"5,371"
2-Apr-19,"5,364"
3-Apr-19,"5,376"
4-Apr-19,"5,376"
5-Apr-19,"5,377"
8-Apr-19,"5,380"
9-Apr-19,"5,419"
10-Apr-19,"5,448"
11-Apr-19,"5,475"
12-Apr-19,"5,433"
15-Apr-19,"5,401"
16-Apr-19,"5,396"
17-Apr-19,"5,375"
18-Apr-19,"5,372"
19-Apr-19,"5,391"
22-Apr-19,"5,384"
23-Apr-19,"5,370"
24-Apr-19,"5,356"
25-Apr-19,"5,372"
26-Apr-19,"5,392"
29-Apr-19,"5,415"
30-Apr-19,"5,396"
2-May-19,"5,384"
3-May-19,"5,384"
6-May-19,"5,428"
7-May-19,"5,428"
8-May-19,"5,437"
9-May-19,"5,421"
10-May-19,"5,421"
13-May-19,"5,462"
14-May-19,"5,540"
15-May-19,"5,521"
16-May-19,"5,516"
17-May-19,"5,470"
21-May-19,"5,429"
23-May-19,"5,443"
24-May-19,"5,485"
27-May-19,"5,480"
28-May-19,"5,492"
29-May-19,"5,476"
30-May-19,"5,470"
31-May-19,"5,521"
3-Jun-19,"5,597"
4-Jun-19,"5,645"
7-Jun-19,"5,667"
10-Jun-19,"5,659"
11-Jun-19,"5,638"
12-Jun-19,"5,632"
13-Jun-19,"5,663"
14-Jun-19,"5,710"
17-Jun-19,"5,695"
18-Jun-19,"5,703"
19-Jun-19,"5,728"
20-Jun-19,"5,775"
21-Jun-19,"5,893"
24-Jun-19,"5,951"
25-Jun-19,"6,021"
26-Jun-19,"6,004"
27-Jun-19,"5,971"
28-Jun-19,"5,977"
1-Jul-19,"5,856"
2-Jul-19,"5,847"
3-Jul-19,"6,025"
4-Jul-19,"5,994"
5-Jul-19,"5,978"
8-Jul-19,"5,899"
9-Jul-19,"5,888"
